id,place_id,nombre,direccion,lat,lon,rating,num_reviews,google_maps_url,tipos,query_origen,barrio
011,ChIJHUv5xa6bP44RKIOt-71J1vQ,La Taberna de Castilla (antes Barricas),"Cra. 15a #118-09, Bogotá, Colombia",4.6977511,-74.04404699999999,4.8,3088.0,https://maps.google.com/?cid=17642369670590595880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,
012,ChIJIenjX0KaP44RKSHdw61ZAEQ,La Divina Comedia Trattoria,"Cl. 71 #5-83, Bogotá, Colombia",4.6535617,-74.054945,4.6,2592.0,https://maps.google.com/?cid=4900014997429362985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
013,ChIJg1t3UkaaP44R6mom8PUwho4,Restaurante Navarra,"Ac 63 #11-61, Bogotá, Colombia",4.649219899999999,-74.06314619999999,4.2,2552.0,https://maps.google.com/?cid=10269949833119165162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, steak_house, restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,
014,ChIJlXEtXkGaP44RdnkB7BBpnbM,Bistecca e Vino Da Trattoria de la Plaza (Restaurante Zona G I Chapinero),"Cl. 69a #5 - 75, Chapinero, Bogotá, Cundinamarca, Colombia",4.651694,-74.0560139,4.7,2509.0,https://maps.google.com/?cid=12942616425532586358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, wine_bar, liquor_store, bar, italian_restaurant, store, food, point_of_interest, establishment",trattoria Bogotá,Chapinero
015,ChIJ5aQaMcOZP44RU0uPhTeEpzQ,Griego Rooftop | Crossover Rooftop & Nightclub in Bogotá,"Cl. 82 #12a - 35, Chapinero, Bogotá, Cundinamarca, Colombia",4.6683975,-74.0538024,4.8,2483.0,https://maps.google.com/?cid=3794146585081760595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"gastropub, night_club, bar, association_or_organization, restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,Chapinero
016,ChIJ2-SkgiyaP44RozZuVc4n6Go,Salonika,"Cra. 24 #41-22, Bogotá, Colombia",4.6317539,-74.0747392,4.6,2396.0,https://maps.google.com/?cid=7703450929767265955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"greek_restaurant, restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,
017,ChIJuf2JS4uaP44RAD6V3NrdE6U,Primi,"Kr 13 #85-85, Bogotá, Colombia",4.6702379999999994,-74.053262,4.6,2220.0,https://maps.google.com/?cid=11895094972888989184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
018,ChIJr-kUlaeaP44RUSkTeO5MtRg,BEIRUT,"Cl. 117 #6-30, Usaquén, Bogotá, Cundinamarca, Colombia",4.6942593,-74.031362,4.5,1981.0,https://maps.google.com/?cid=1780413814795348305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"lebanese_restaurant, restaurant, food, point_of_interest, establishment",mediterranean food Bogotá,Usaquén
019,ChIJExqx5jKbP44Rpn6fM06js9w,Santorini Rooftop,"salón 2, Calle 85 #12-66 Piso 15, Bogotá, Colombia",4.6690925,-74.05307789999999,4.5,1914.0,https://maps.google.com/?cid=15903234265444220582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, mediterranean_restaurant, bar, food, point_of_interest, establishment",mediterranean food Bogotá,Calle 85 #12-66 Piso 15
020,ChIJedCE-5CaP44RONFsVbZxyyU,Restaurante Pajares Salinas,"Cra 10 #96-8, Bogotá, Colombia",4.678815999999999,-74.0441266,4.7,1862.0,https://maps.google.com/?cid=2723395427606778168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, restaurant, food, point_of_interest, establishment",restaurante español Bogotá Colombia,
021,ChIJ6wTOUweQP44RSvo164qpKTk,Huerta Coctelería Artesanal,"Cra. 12a #83-64, Bogotá, Colombia",4.6679246,-74.05348959999999,4.5,1848.0,https://maps.google.com/?cid=4119009748323793482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bar, cocktail_bar, restaurant, food, point_of_interest, establishment",tapas bar Bogotá,
